date,open,high,low,close,volume
2025-08-20,568.33,568.45,558.84,565.9,76781087
2025-08-21,564.35,566.49,560.98,563.28,46436899
2025-08-22,564.67,573.99,563.27,571.97,51502129
2025-08-25,570.4,573.2871,569.16,570.32,34044749
2025-08-26,569.83,572.92,568.8,572.61,34103014
2025-08-27,571.59,574.405,570.37,573.49,36927144
2025-08-28,574.11,578.0,572.46,577.08,46787857
2025-08-29,574.655,575.03,568.54,570.4,56030409
2025-09-02,561.31,565.965,559.535,565.62,65876765
2025-09-03,569.23,571.695,566.725,570.07,54230213
2025-09-04,570.74,575.6,569.025,575.23,47526280
2025-09-05,580.49,581.12,571.53,576.06,68342532
2025-09-08,578.37,580.84,577.77,578.87,46371354
2025-09-09,579.67,580.94,577.04,580.51,44007592
2025-09-10,583.74,583.77,578.55,580.7,49307959
2025-09-11,583.24,584.88,581.62,584.08,44745766
2025-09-12,585.04,587.86,584.1,586.66,50745886
2025-09-15,588.44,591.79,588.295,591.68,44360315
2025-09-16,592.61,592.86,590.49,591.18,36942130
2025-09-17,591.1,591.75,584.365,590.0,69384820
2025-09-18,594.91,598.14,592.96,595.32,61069294
2025-09-19,597.33,600.05,595.85,599.35,58196109
2025-09-22,597.74,602.87,597.72,602.2,57154769
2025-09-23,602.37,602.57,596.98,598.2,64635486
2025-09-24,599.58,599.9,593.36,596.1,49850301
2025-09-25,592.2,595.115,588.5,593.53,70920209
2025-09-26,594.35,596.3,591.06,595.97,54337416
2025-09-29,599.11,602.05,597.41,598.73,48332934
2025-09-30,598.43,600.71,596.1,600.37,46533814
2025-10-01,597.17,603.79,596.34,603.25,46899612
2025-10-02,607.06,607.16,602.93,605.73,43765410
2025-10-03,606.51,607.3255,601.385,603.18,46482098
2025-10-06,608.45,609.36,605.97,607.71,41962115
2025-10-07,609.02,609.71,603.03,604.51,58209463
2025-10-08,605.41,611.75,605.26,611.44,50629754
2025-10-09,611.48,611.61,607.48,610.7,45550958
2025-10-10,611.4,613.18,589.05,589.5,97614783
2025-10-13,599.68,602.95,597.23,602.01,65872584
2025-10-14,595.31,602.69,590.13,598.0,69203187
2025-10-15,604.01,606.7,595.93,602.22,62805456
2025-10-16,605.11,608.31,595.5,599.99,70981963
2025-10-17,597.95,605.51,596.37,603.93,72024872
