date,open,high,low,close,volume
2025-01-06,84.97,86.85,84.03,85.21,46025002
2025-01-07,85.72,85.89,79.705,80.62,55510477
2025-01-08,80.56,81.41,78.44,80.68,48010618
2025-01-10,78.8,78.82,75.23,76.83,72825832
2025-01-13,74.05,76.2,73.34,76.03,56691006
2025-01-14,77.48,78.06,74.1909,75.76,62635450
2025-01-15,79.31,81.475,78.6,80.88,53459576
2025-01-16,82.01,82.05,79.2,79.23,46527715
2025-01-17,83.69,83.94,81.84,83.14,43676083
2025-01-21,84.45,85.15,82.3305,84.52,41725896
2025-01-22,86.84,88.91,86.71,87.8,43132663
2025-01-23,86.54,88.38,86.27,88.34,30240482
2025-01-24,88.43,88.83,86.01,86.75,36239633
2025-01-27,77.58,81.03,77.18,79.14,80910839
2025-01-28,79.58,83.1699,78.0,82.65,50516695
2025-01-29,82.91,82.98,80.26,82.14,59240550
2025-01-30,83.47,84.585,80.86,83.17,57585510
2025-01-31,84.92,87.09,82.18,82.72,59334629
2025-02-03,78.53,81.99,77.34,80.72,76628493
2025-02-04,80.91,83.938,80.73,83.65,42317266
2025-02-05,82.35,84.82,81.76,84.74,39847434
2025-02-06,84.96,86.13,84.1948,86.01,38215508
2025-02-07,86.26,87.19,82.3513,82.73,55435239
2025-02-10,84.73,86.2,84.5,85.64,32797059
2025-02-11,84.07,85.99,84.01,85.03,31301402
2025-02-12,82.28,85.605,82.1,85.2,48493304
2025-02-13,85.98,88.955,85.58,88.79,46460081
2025-02-14,88.81,90.18,88.6,89.83,38028741
2025-02-18,90.63,90.75,88.75,90.39,34412579
2025-02-19,90.0,91.12,88.92,90.4,34257893
2025-02-20,90.05,90.23,86.89,89.3,40133030
2025-02-21,89.77,89.79,83.47,83.71,59313609
2025-02-24,84.5,85.05,80.5,80.7,53233725
2025-02-25,80.33,80.38,75.78,77.62,75597231
2025-02-26,78.58,80.4499,76.69,78.12,63175733
2025-02-27,79.72,80.17,71.48,71.64,103375523
2025-02-28,71.46,75.17,70.075,74.92,93178974
2025-03-03,76.37,77.05,68.435,70.08,91945843
2025-03-04,68.76,72.77,66.01,69.31,130836942
2025-03-05,69.55,72.685,67.49,72.01,100633296
2025-03-06,68.39,70.4962,65.1716,66.04,122822703
2025-03-07,65.56,68.01,62.89,67.41,135177330
2025-03-10,64.0,64.19,57.88,59.81,156135790
2025-03-11,59.4,61.85,57.3707,59.11,139489300
2025-03-12,61.94,62.66,59.16,61.13,141918580
2025-03-13,60.8,60.85,57.04,57.79,121227286
2025-03-14,59.71,62.23,59.5,61.89,99108544
2025-03-17,61.88,64.2799,61.15,63.09,90150374
2025-03-18,61.77,61.78,59.01,59.91,87826225
2025-03-19,60.68,63.91,59.94,62.24,92593158
2025-03-20,60.66,63.63,60.37,61.6,88409063
2025-03-21,59.53,62.415,59.0727,62.18,80490984
2025-03-24,65.06,66.53,64.815,66.13,63411497
2025-03-25,66.48,67.3701,66.09,67.31,55569695
2025-03-26,66.64,66.99,62.76,63.38,79567687
2025-03-27,62.6,64.23,61.75,62.3,72368042
2025-03-28,61.54,61.81,56.97,57.34,103632136
2025-03-31,54.72,57.628,53.04,57.3,106854450
2025-04-01,56.68,58.9901,55.62,58.62,97098166
2025-04-02,56.19,61.2,56.09,59.93,123087357
2025-04-03,52.43,53.83,50.11,50.3,140115740
2025-04-04,45.99,46.78,41.03,41.09,258026680
2025-04-07,36.75,46.83,35.0,41.25,395727630
2025-04-08,45.39,46.81,37.1,38.9,251147700
2025-04-09,38.76,53.41,38.73,52.61,356932030
2025-04-10,48.68,49.34,41.57,46.14,281692730
2025-04-11,45.67,49.07,44.62,48.58,179292900
2025-04-14,51.9,52.052,48.0749,49.6,147430730
2025-04-15,49.96,51.2093,49.19,49.79,104670056
2025-04-16,46.83,48.01,43.16,45.29,134574360
2025-04-17,46.09,46.2895,44.35,45.16,101095831
2025-04-21,43.37,43.64,40.24,41.86,114769688
2025-04-22,43.46,45.98,43.1,45.06,130111434
2025-04-23,49.24,50.8277,47.63,48.05,151997730
2025-04-24,48.74,52.28,48.54,52.14,120307701
2025-04-25,52.04,54.07,51.48,53.86,113051563
2025-04-28,54.02,54.64,51.64,53.82,95678446
2025-04-29,53.04,55.17,52.83,54.87,84904015
2025-04-30,51.96,55.42,50.32,54.88,134223300
2025-05-01,57.56,58.885,56.63,56.77,102740841
2025-05-02,58.64,60.1867,58.03,59.43,97548936
2025-05-05,57.9,59.5,57.7,58.4,69289492
2025-05-06,56.06,58.04,55.57,56.74,82942944
2025-05-07,56.96,58.26,55.085,57.4,104368572
2025-05-08,59.2,60.71,57.66,59.11,98810788
2025-05-09,59.8,60.2698,58.325,58.97,73409422
2025-05-12,65.85,66.16,63.8508,66.11,101244950
2025-05-13,66.67,69.86,66.36,69.14,85297723
2025-05-14,69.61,70.6075,69.21,70.36,80592386
2025-05-15,69.48,71.6899,68.93,70.58,80847372
2025-05-16,71.11,71.52,69.65,71.45,63813609
2025-05-19,68.47,71.86,68.43,71.64,71897093
2025-05-20,70.58,71.1699,69.4001,70.89,67034708
2025-05-21,69.24,71.99,67.18,67.94,109627584
2025-05-22,68.16,69.7501,67.62,68.29,86771006
2025-05-23,65.09,67.3401,64.8587,66.32,107110438
2025-05-27,68.99,71.145,68.3893,70.94,65269766
2025-05-28,71.34,71.94,69.78,70.03,66271337
2025-05-29,73.0,73.0596,69.33,70.37,97717242
2025-05-30,70.13,70.6,67.04,70.0,93559149
2025-06-02,69.2,71.72,68.69,71.61,68962708
